Restaurant name,Order ID,Platform Key,Restaurant ID,Order status,Created at,Accepted at,Cancelled at,Cancellation reason,Cancellation owner,Rejected at,Rejection reason,Dispatched at,Delivered at,Address,Transport type,Payment type,Payment method,Food value,Packaging charges,Discount,Voucher,Minimum order value fee,Delivery Fee,Items,Preorder,Billable Status
瓦城泰國料理 (苗栗頭份店),a14o-ypt3,FP_TW,a14o,Delivered,2021-10-03 11:34,2021-10-03 11:43,,,,,,2021-10-03 12:18,2021-10-03 12:25,頭份市 351,Platform delivery,Online,cybersource_creditcard,1229,0,0,200,0,19,"1 泰國冰奶茶【400ml】, 1 經典人氣 2人餐 [1 辣炒豬肉, 1 泰國茉莉香米]",no,yes
大心泰式麵食 (秀泰嘉義店),aber-1g29,FP_TW,aber,Delivered,2021-10-03 14:40,2021-10-03 14:41,,,,,,2021-10-03 14:54,2021-10-03 15:04,西區 600,Platform delivery,Online,cybersource_creditcard,400,0,0,40,0,40,"1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【河粉】], 1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【拉麵】]",no,yes
大心泰式麵食 (秀泰嘉義店),aber-2yww,FP_TW,aber,Delivered,2021-10-03 12:37,2021-10-03 12:39,,,,,,2021-10-03 12:58,2021-10-03 13:09,西區,Platform delivery,Online,cybersource_creditcard,525,0,0,30,0,0,"1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【河粉】], 1 酸辣海陸系列 [1 酸辣海陸麵【拉麵】], 1 酥炸蝦醬雞米花",no,yes
大心泰式麵食 (秀泰嘉義店),aber-7bfo,FP_TW,aber,Delivered,2021-10-03 11:49,2021-10-03 11:51,,,,,,2021-10-03 12:16,2021-10-03 12:26,西區 600,Platform delivery,Cash,COD,430,0,0,0,0,40,"1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【拉麵】], 1 裝熟蛋椒麻雞飯",no,yes
大心泰式麵食 (秀泰嘉義店),aber-7xoh,FP_TW,aber,Delivered,2021-10-03 15:03,2021-10-03 15:03,,,,,,2021-10-03 15:38,2021-10-03 15:56,東區 600,Platform delivery,Online,cybersource_creditcard,269,0,0,0,0,0,"1 泰國奶茶, 1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【公仔麵】]",no,yes
大心泰式麵食 (秀泰嘉義店),aber-8wjr,FP_TW,aber,Delivered,2021-10-03 12:32,2021-10-03 12:34,,,,,,2021-10-03 13:02,2021-10-03 13:09,西區 600,Platform delivery,Cash,COD,250,0,0,0,0,19,1 酸辣海陸系列 [1 酸辣海陸麵【拉麵】],no,yes
大心泰式麵食 (秀泰嘉義店),aber-d77l,FP_TW,aber,Delivered,2021-10-03 17:16,2021-10-03 17:17,,,,,,2021-10-03 17:41,2021-10-03 17:55,東區 600,Platform delivery,Online,ApplePay,700,0,0,0,0,0,"1 裝熟蛋咖哩雞腿飯, 1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【拉麵】], 1 清燉越南牛肉河粉",no,yes
大心泰式麵食 (秀泰嘉義店),aber-fjcw,FP_TW,aber,Delivered,2021-10-03 14:18,2021-10-03 14:19,,,,,,2021-10-03 14:30,2021-10-03 14:38,西區 600,Platform delivery,Online,cybersource_creditcard,229,0,0,0,0,0,"1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【拉麵】, 1 溏心蛋]",no,yes
大心泰式麵食 (秀泰嘉義店),aber-g61x,FP_TW,aber,Delivered,2021-10-03 12:16,2021-10-03 12:18,,,,,,2021-10-03 12:46,2021-10-03 12:52,Chiayi City 600,Platform delivery,Cash,COD,229,0,0,0,0,0,1 咖哩雞腿麵 [1 溏心蛋],no,yes
大心泰式麵食 (秀泰嘉義店),aber-njyx,FP_TW,aber,Delivered,2021-10-03 12:22,2021-10-03 12:23,,,,,,2021-10-03 12:47,2021-10-03 12:59,西區 600,Platform delivery,Online,cybersource_creditcard,329,0,0,0,0,0,"1 酸辣海陸系列 [1 酸辣海陸麵【拉麵】], 1 搖滾青木瓜沙律",no,yes
大心泰式麵食 (秀泰嘉義店),aber-o6e2,FP_TW,aber,Delivered,2021-10-03 19:34,2021-10-03 19:35,,,,,,2021-10-03 19:43,2021-10-03 20:04,Chiayi City 600,Platform delivery,Online,cybersource_creditcard,229,0,0,0,0,19,"1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【公仔麵】, 1 溏心蛋]",no,yes
大心泰式麵食 (秀泰嘉義店),aber-opnm,FP_TW,aber,Delivered,2021-10-03 13:57,2021-10-03 13:57,,,,,,2021-10-03 14:05,2021-10-03 14:14,西區 600,Platform delivery,Online,cybersource_creditcard,319,0,0,0,0,29,"1 酸辣番茄松阪豬肉系列 [1 酸辣番茄松阪豬肉麵【拉麵】], 1 泰國奶茶",no,yes
大心泰式麵食 (秀泰嘉義店),aber-y0jy,FP_TW,aber,Delivered,2021-10-03 18:05,2021-10-03 18:06,,,,,,2021-10-03 18:28,2021-10-03 18:38,東區 600,Platform delivery,Online,cybersource_creditcard,329,0,0,0,0,0,"1 裝熟蛋打拋豬肉飯, 1 搖滾青木瓜沙律",no,yes
大心泰式麵食 (秀泰嘉義店),aber-z7qv,FP_TW,aber,Delivered,2021-10-03 20:15,2021-10-03 20:16,,,,,,2021-10-03 20:29,2021-10-03 20:44,嘉義市 600,Platform delivery,Online,cybersource_creditcard,400,0,0,0,0,0,"1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【拉麵】], 1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【公仔麵】]",no,yes
瓦城泰式個人餐盒 (竹北光明店),ahmk-3ama,FP_TW,ahmk,Delivered,2021-10-03 17:37,2021-10-03 17:40,,,,,,2021-10-03 18:39,2021-10-03 18:51,Hsinchu County 302,Platform delivery,Online,cybersource_creditcard,780,0,0,0,0,0,"1 嫩烤松阪豬餐盒 [1 嫩烤松阪豬餐盒], 2 泰式咖哩雞餐盒 [1 泰式咖哩雞餐盒]",no,yes
瓦城泰式個人餐盒 (竹北光明店),ahmk-bbkj,FP_TW,ahmk,Delivered,2021-10-03 17:31,2021-10-03 17:33,,,,,,2021-10-03 18:02,2021-10-03 18:18,Zhubei City 302,Platform delivery,Online,cybersource_creditcard,530,0,0,50,0,0,"1 嫩烤松阪豬餐盒 [1 嫩烤松阪豬餐盒], 1 綠咖哩椰汁雞餐盒 [1 綠咖哩椰汁雞餐盒]",no,yes
瓦城泰式個人餐盒 (竹北光明店),ahmk-bril,FP_TW,ahmk,Delivered,2021-10-03 17:22,2021-10-03 17:24,,,,,,2021-10-03 17:48,2021-10-03 17:55,竹北市 302,Platform delivery,Cash,COD,950,0,0,0,0,0,"1 嫩烤松阪豬餐盒 [1 嫩烤松阪豬餐盒], 2 椒麻雞飯餐盒 [1 椒麻雞餐盒], 1 泰式椰汁炒雞肉餐盒",no,yes
瓦城泰式個人餐盒 (竹北光明店),ahmk-d387,FP_TW,ahmk,Delivered,2021-10-03 11:12,2021-10-03 11:13,,,,,,2021-10-03 11:58,2021-10-03 12:15,Hsinchu City 302,Platform delivery,Online,cybersource_creditcard,250,0,0,0,0,0,1 泰式咖哩雞餐盒 [1 泰式咖哩雞餐盒],no,yes
瓦城泰式個人餐盒 (竹北光明店),ahmk-em05,FP_TW,ahmk,Delivered,2021-10-03 19:04,2021-10-03 19:06,,,,,,2021-10-03 19:31,2021-10-03 19:40,Hsinchu County 302,Platform delivery,Cash,COD,380,0,0,0,0,39,"1 泰式椰汁牛肉餐盒, 1 泰式香辣雞腿餐盒",no,yes
瓦城泰式個人餐盒 (竹北光明店),ahmk-fatc,FP_TW,ahmk,Delivered,2021-10-03 15:13,2021-10-03 17:07,,,,,,2021-10-03 17:41,2021-10-03 17:49,Hsinchu County 302,Platform delivery,Online,cybersource_creditcard,370,0,0,39,0,39,"1 泰北五花肉飯餐盒, 1 泰式香辣雞腿餐盒",yes,yes
瓦城泰式個人餐盒 (竹北光明店),ahmk-kk34,FP_TW,ahmk,Delivered,2021-10-03 14:38,2021-10-03 14:40,,,,,,2021-10-03 15:06,2021-10-03 15:14,Hsinchu City,Platform delivery,Online,cybersource_creditcard,280,0,0,0,0,0,1 嫩烤松阪豬餐盒 [1 嫩烤松阪豬餐盒],no,yes
瓦城泰式個人餐盒 (竹北光明店),ahmk-m18r,FP_TW,ahmk,Delivered,2021-10-03 11:11,2021-10-03 11:12,,,,,,2021-10-03 11:58,2021-10-03 12:07,Hsinchu County 302,Platform delivery,Online,cybersource_creditcard,629,0,0,0,0,39,"1 嫩烤松阪豬餐盒 [1 嫩烤松阪豬餐盒], 1 綠咖哩椰汁雞餐盒 [1 綠咖哩椰汁雞餐盒], 1 泰國奶茶【冰】",no,yes
瓦城泰式個人餐盒 (竹北光明店),ahmk-nozj,FP_TW,ahmk,Delivered,2021-10-03 16:44,2021-10-03 16:45,,,,,,2021-10-03 17:08,2021-10-03 17:16,Hsinchu County 302,Platform delivery,Online,ApplePay,170,0,0,0,0,39,1 泰式椰汁炒雞肉餐盒,no,yes
瓦城泰式個人餐盒 (竹北光明店),ahmk-snvn,FP_TW,ahmk,Delivered,2021-10-03 16:25,2021-10-03 16:27,,,,,,2021-10-03 16:53,2021-10-03 16:58,Hsinchu County 302,Platform delivery,Cash,COD,250,0,0,0,0,0,1 椒麻雞飯餐盒 [1 椒麻雞餐盒],yes,yes
瓦城泰式個人餐盒 (竹北光明店),ahmk-wx02,FP_TW,ahmk,Delivered,2021-10-03 17:38,2021-10-03 17:40,,,,,,2021-10-03 18:02,2021-10-03 18:08,竹北市,Platform delivery,Cash,COD,420,0,0,0,0,19,"1 泰式椰汁炒雞肉餐盒, 1 綠咖哩椰汁雞餐盒 [1 綠咖哩椰汁雞餐盒]",no,yes
瓦城泰國料理 (新竹東區一店),b58g-2xbb,FP_TW,b58g,Delivered,2021-10-03 17:59,2021-10-03 18:08,,,,,,2021-10-03 19:03,2021-10-03 19:20,Hsinchu City 308,Platform delivery,Online,cybersource_creditcard,1130,0,0,0,0,0,"1 經典人氣 2人餐 [1 辣炒豬肉, 1 泰國茉莉香米]",no,yes
瓦城泰國料理 (新竹東區一店),b58g-3dh9,FP_TW,b58g,Delivered,2021-10-03 17:10,2021-10-03 17:11,,,,,,2021-10-03 17:43,2021-10-03 17:52,竹東鎮 310,Platform delivery,Online,cybersource_creditcard,560,0,0,0,0,39,"1 綠咖哩椰汁雞, 1 辣炒豬肉",no,yes
瓦城泰國料理 (新竹東區一店),b58g-5xig,FP_TW,b58g,Delivered,2021-10-03 20:29,2021-10-03 20:29,,,,,,,2021-10-03 21:12,,Pickup,Online,cybersource_creditcard,500,0,50,100,0,0,"1 綠咖哩椰汁雞, 1 蝦醬四季豆, 1 泰國茉莉香米",no,yes
瓦城泰國料理 (新竹東區一店),b58g-5zcf,FP_TW,b58g,Delivered,2021-10-03 11:27,2021-10-03 11:29,,,,,,2021-10-03 12:11,2021-10-03 12:24,Hsinchu City 300,Platform delivery,Online,cybersource_creditcard,899,0,0,0,0,0,"1 泰國冰奶茶【400ml】, 2 泰國茉莉香米, 1 綠咖哩椰汁雞, 1 蝦醬四季豆, 1 辣炒豬肉",no,yes
瓦城泰國料理 (新竹東區一店),b58g-w7tz,FP_TW,b58g,Delivered,2021-10-03 17:14,2021-10-03 17:16,,,,,,2021-10-03 17:49,2021-10-03 18:01,東區 300,Platform delivery,Online,cybersource_creditcard,680,0,0,0,0,29,"1 三色糖醋排骨, 1 蠔油炒時蔬, 1 辣炒高麗菜, 1 泰國茉莉香米",no,yes
大心泰式麵食 (內壢家樂福店),bsg0-33qw,FP_TW,bsg0,Delivered,2021-10-03 16:59,2021-10-03 16:59,,,,,,,2021-10-03 17:10,,Pickup,Online,cybersource_creditcard,400,0,40,50,0,0,"1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【公仔麵】], 1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【拉麵】]",no,yes
大心泰式麵食 (內壢家樂福店),bsg0-3i10,FP_TW,bsg0,Delivered,2021-10-03 20:28,2021-10-03 20:30,,,,,,2021-10-03 20:43,2021-10-03 20:53,中壢區 320,Platform delivery,Online,cybersource_creditcard,558,0,0,0,0,30,"1 搖滾青木瓜沙律, 1 裝熟蛋綠咖哩雞肉飯, 1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【河粉】, 1 溏心蛋]",no,yes
大心泰式麵食 (內壢家樂福店),bsg0-6enr,FP_TW,bsg0,Delivered,2021-10-03 17:24,2021-10-03 17:26,,,,,,2021-10-03 17:38,2021-10-03 17:51,Taoyuan City 320,Platform delivery,Online,cybersource_creditcard,200,0,0,0,0,30,1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【公仔麵】],no,yes
大心泰式麵食 (內壢家樂福店),bsg0-95oa,FP_TW,bsg0,Delivered,2021-10-03 11:58,2021-10-03 12:00,,,,,,2021-10-03 12:29,2021-10-03 12:34,中壢區 320,Platform delivery,Online,cybersource_creditcard,319,0,0,0,0,19,"1 酸辣海陸系列 [1 酸辣海陸麵【公仔麵】], 1 泰國奶茶",no,yes
大心泰式麵食 (內壢家樂福店),bsg0-jbj6,FP_TW,bsg0,Delivered,2021-10-03 18:26,2021-10-03 18:27,,,,,,2021-10-03 18:52,2021-10-03 19:07,Taoyuan City 320,Platform delivery,Online,cybersource_creditcard,230,0,0,0,0,0,1 裝熟蛋椒麻雞飯,no,yes
大心泰式麵食 (內壢家樂福店),bsg0-mm57,FP_TW,bsg0,Delivered,2021-10-03 11:34,2021-10-03 11:44,,,,,,2021-10-03 12:11,2021-10-03 12:25,中壢區 320,Platform delivery,Online,cybersource_creditcard,1099,0,0,0,0,30,"1 裝熟蛋打拋豬肉飯 [1 溏心蛋], 2 清燉越南牛肉河粉, 1 泰式蝦醬雞翅【9支】",no,yes
大心泰式麵食 (內壢家樂福店),bsg0-n8pe,FP_TW,bsg0,Delivered,2021-10-03 17:08,2021-10-03 17:10,,,,,,2021-10-03 17:33,2021-10-03 17:46,中壢區 320,Platform delivery,Online,balance,279,0,0,0,0,0,"1 搖滾青木瓜沙律, 1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【拉麵】]",no,yes
大心泰式麵食 (內壢家樂福店),bsg0-ua4j,FP_TW,bsg0,Delivered,2021-10-03 19:06,2021-10-03 19:08,,,,,,2021-10-03 19:31,2021-10-03 19:45,Taoyuan District 330,Platform delivery,Online,cybersource_creditcard,509,0,0,0,0,0,"1 青檸可樂, 1 酸辣番茄豬肉系列 [1 酸辣番茄豬肉麵【拉麵】], 1 裝熟蛋綠咖哩雞肉飯",no,yes
大心泰式麵食 (內壢家樂福店),bsg0-ysf7,FP_TW,bsg0,Delivered,2021-10-03 16:05,2021-10-03 16:07,,,,,,2021-10-03 16:25,2021-10-03 16:42,桃園市 320,Platform delivery,Cash,COD,529,0,0,0,0,59,"1 酸辣海鮮系列 [1 酸辣海鮮麵【拉麵】, 1 溏心蛋], 1 裝熟蛋打拋豬肉飯",no,yes
瓦城泰國料理 (高雄夢時代店),bxpm-12v0,FP_TW,bxpm,Delivered,2021-10-03 12:18,2021-10-03 12:20,,,,,,2021-10-03 12:53,2021-10-03 13:05,Kaohsiung City 806,Platform delivery,Cash,COD,1295,0,0,0,0,19,"1 BBQ嫩烤松阪豬, 1 綠咖哩椰汁雞, 1 風味椒麻雞, 1 芝麻酥蝦餅",no,yes
瓦城泰國料理 (高雄夢時代店),bxpm-2er1,FP_TW,bxpm,Delivered,2021-10-03 16:16,2021-10-03 16:19,,,,,,2021-10-03 17:04,2021-10-03 17:18,Kaohsiung City 806,Platform delivery,Online,cybersource_creditcard,1764,0,0,0,0,35,"1 綠咖哩椰汁雞, 1 BBQ嫩烤松阪豬, 1 花生蝦滋圈, 1 蝦醬四季豆, 3 泰國茉莉香米, 1 泰國冰奶茶【400ml】, 1 酸辣海鮮湯",no,yes
瓦城泰國料理 (高雄夢時代店),bxpm-9ub7,FP_TW,bxpm,Delivered,2021-10-03 20:09,2021-10-03 20:11,,,,,,2021-10-03 20:31,2021-10-03 20:48,前鎮區 806,Platform delivery,Online,ApplePay,1760,0,0,0,0,19,"1 經典人氣 3人餐 [1 辣炒豬肉, 1 泰國茉莉香米], 1 風味椒麻雞, 2 泰國茉莉香米",no,yes
瓦城泰國料理 (高雄夢時代店),bxpm-vh7z,FP_TW,bxpm,Delivered,2021-10-03 16:42,2021-10-03 17:05,,,,,,2021-10-03 17:43,2021-10-03 17:49,前鎮區 806,Platform delivery,Online,cybersource_creditcard,1875,0,0,0,0,35,"1 酥炸檸檬魚, 1 BBQ嫩烤松阪豬, 1 三色糖醋排骨, 1 蠔油炒時蔬, 1 芝麻酥蝦餅, 1 蝦醬四季豆",yes,yes
瓦城泰國料理 (永和一店),c3k5-87fj,FP_TW,c3k5,Delivered,2021-10-03 18:13,2021-10-03 18:18,,,,,,2021-10-03 19:09,2021-10-03 19:13,永和區,Platform delivery,Online,cybersource_creditcard,1380,0,0,0,0,0,"1 辣炒豬肉, 1 花生蝦滋圈, 1 辣炒高麗菜, 1 蠔油花椰菜, 2 紅藜米, 1 綠咖哩椰汁雞",no,yes
瓦城泰國料理 (永和一店),c3k5-ep59,FP_TW,c3k5,Delivered,2021-10-03 16:44,2021-10-03 16:50,,,,,,2021-10-03 17:05,2021-10-03 17:12,Yonghe District 234,Platform delivery,Online,cybersource_creditcard,1338,0,0,0,0,39,"1 原味青木瓜沙律, 1 風味椒麻雞, 1 辣炒高麗菜, 3 泰國茉莉香米, 2 泰國冰奶茶【400ml】, 1 海鮮什蔬沙律",no,yes
瓦城泰國料理 (永和一店),c3k5-ogp8,FP_TW,c3k5,Delivered,2021-10-03 14:33,2021-10-03 14:38,,,,,,2021-10-03 14:44,2021-10-03 14:56,中和區 235,Platform delivery,Cash,COD,300,0,0,49,0,49,"1 辣炒豬肉, 1 泰國茉莉香米",no,yes
瓦城泰國料理 (新竹東區二店),cf48-b71o,FP_TW,cf48,Delivered,2021-10-03 11:40,2021-10-03 11:46,,,,,,,2021-10-03 12:45,,Pickup,Online,cybersource_creditcard,280,0,0,40,0,0,1 綠咖哩椰汁雞,no,yes
瓦城泰國料理 (新竹東區二店),cf48-vv8e,FP_TW,cf48,Delivered,2021-10-03 09:06,2021-10-03 11:46,,,,,,2021-10-03 12:42,2021-10-03 12:50,Hsinchu City 300,Platform delivery,Online,cybersource_creditcard,2583,0,0,0,0,0,"1 經典人氣 4人餐 [1 辣炒豬肉, 1 泰國茉莉香米], 1 冰鎮檸檬香綠茶【400ml】, 1 泰國冰奶茶【400ml】, 1 酸辣海鮮湯, 1 蝦醬四季豆",yes,yes
時時香 (大江中壢店),d56z-16d1,FP_TW,d56z,Delivered,2021-10-03 12:14,2021-10-03 12:16,,,,,,2021-10-03 12:45,2021-10-03 13:03,中壢區 32054,Platform delivery,Online,ApplePay,970,0,0,0,0,30,"1 阿婆紅燒肉, 1 剝皮辣椒燉雞湯, 1 鮮菇燴時蔬, 2 台梗九號優質米",no,yes
時時香 (大江中壢店),d56z-56rq,FP_TW,d56z,Delivered,2021-10-03 18:18,2021-10-03 18:20,,,,,,2021-10-03 18:45,2021-10-03 19:02,Taoyuan City 320,Platform delivery,Cash,COD,670,0,0,0,0,30,"1 3.5杯雞, 1 麻油松阪豬",no,yes
時時香 (大江中壢店),d56z-8oil,FP_TW,d56z,Delivered,2021-10-03 11:51,2021-10-03 11:55,,,,,,2021-10-03 12:29,2021-10-03 12:42,Taoyuan City 320,Platform delivery,Cash,COD,2040,0,0,0,0,30,"1 超級麻婆豆腐, 1 3.5杯雞, 1 阿婆紅燒肉, 1 麻油松阪豬, 1 湘西高麗菜, 1 鮮菇燴時蔬, 1 厚煎菜脯蛋, 5 台梗九號優質米",no,yes
時時香 (大江中壢店),d56z-91t7,FP_TW,d56z,Delivered,2021-10-03 12:28,2021-10-03 12:37,,,,,,2021-10-03 12:56,2021-10-03 13:15,中壢區 320,Platform delivery,Online,cybersource_creditcard,830,0,0,0,0,30,"1 阿婆紅燒肉, 1 湘西高麗菜, 1 宮保雞丁",no,yes
時時香 (大江中壢店),d56z-9g5i,FP_TW,d56z,Delivered,2021-10-03 13:20,2021-10-03 13:23,,,,,,2021-10-03 14:38,2021-10-03 14:53,Taoyuan City 320,Platform delivery,Online,cybersource_creditcard,1825,0,0,0,0,30,1 經典人氣 3人餐 [1 台梗九號優質米],no,yes
時時香 (大江中壢店),d56z-ce55,FP_TW,d56z,Delivered,2021-10-03 18:47,2021-10-03 18:52,,,,,,2021-10-03 19:19,2021-10-03 19:33,中壢區 320,Platform delivery,Online,ApplePay,1085,0,0,0,0,30,"1 霸王甘蔗蝦(3支), 1 香炒花椰菜, 1 鮮菇燴時蔬, 3 台梗九號優質米, 1 麻油松阪豬",no,yes
時時香 (大江中壢店),d56z-gpik,FP_TW,d56z,Delivered,2021-10-03 14:01,2021-10-03 14:03,,,,,,2021-10-03 14:27,2021-10-03 14:41,Zhongli District 320,Platform delivery,Online,cybersource_creditcard,580,0,0,30,0,0,"1 厚煎菜脯蛋, 1 超級麻婆豆腐, 3 台梗九號優質米",no,yes
時時香 (大江中壢店),d56z-kdid,FP_TW,d56z,Delivered,2021-10-03 18:03,2021-10-03 18:08,,,,,,2021-10-03 18:31,2021-10-03 18:44,中壢區 320,Platform delivery,Cash,COD,2670,0,0,0,0,0,"1 剝皮辣椒燉雞湯, 1 經典人氣 4人餐 [1 台梗九號優質米]",no,yes
時時香 (大江中壢店),d56z-xg5u,FP_TW,d56z,Delivered,2021-10-03 16:13,2021-10-03 16:16,,,,,,2021-10-03 16:43,2021-10-03 17:01,Taoyuan City 320,Platform delivery,Online,cybersource_creditcard,1110,0,0,50,0,0,"1 3.5杯雞, 1 厚煎菜脯蛋, 1 香干牛肉絲, 1 香炒花椰菜",no,yes
